제목,개요,효과,썸네일,난이도,자세분류,부위
머리 잡고 목 측면으로 밀기,목을 측면으로 굽히는 동작에 관여하는 근육에 대한 스트레칭이다. 주로 상부승모근이 스트레칭되며 운동 전후 그리고 일상생활 중 수행해 준다.,상부승모근의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141327410_6FBN04HSS.jpg/strch004_01.jpg?type=w224_1&wm=N,,,목
,,,,,,
발목 안쪽으로 굽히기,종아리 바깥쪽에 위치한 근육들의 스트레칭으로서 다리가 많이 쓰이는 동작의 운동을 할 때 안정적인 운동 수행과 발목의 안정성을 높이기 위해 수행한다.,종아리의 측면에 위치한 비골근군의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141421183_3T7GZW18K.jpg/strch035_01.jpg?type=w224_1&wm=N,,,발목
,,,,,,
벽 잡고 뒤로 돌기,흔히 알통이라 부르는 상완 이두근의 스트레칭이다. 팔을 사용하는 운동 또는 작업 그리고 운반 등의 활동 시 수행해 준다.,상완 이두근과 상완근의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141338793_H2L2YJ8O2.jpg/strch010_01.jpg?type=w224_1&wm=N,,,팔
,,,,,,
발등 바닥에 대고 무릎 꿇고 앉기,정강이 앞쪽에 위치한 근육의 스트레칭으로 운동을 시작한지 얼마 되지 않았거나 운동 강도가 높아졌을 때 정강이 앞쪽의 근육에 피로가 증가될 수 있으므로 이 스트레칭을 통해 피로를 줄일 수 있다.,전경골근 및 발가락 신전근 그리고 대퇴사두근의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141418462_9UHC9FKXN.jpg/strch034_01.jpg?type=w224_1&wm=N,,,"허벅지, 
                                        발목"
,,,,,,
몸 옆으로 굽히기,몸통의 측면에 위치한 근육들의 스트레칭으로서 팔의 근육도 스트레칭 된다. 오래 앉아 있거나 서 있을 때 경직된 근육을 풀어주는 데 유용한 스트레칭이다.,외복사근과 내복사근 그리고 광배근의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141347730_8R9JW1VFX.jpg/strch015_01.jpg?type=w224_1&wm=N,,,"복부, 
                                        등"
,,,,,,
깍지 끼고 등 말기,등의 견갑골 주변 근육들의 스트레칭이다. 이 근육들은 어깨와 팔을 이용한 운동을 할 때 운동 전후 그리고 앉아서 작업을 할 때 수행해 주는 것이 좋다.,등의 승모근과 능형근의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141356793_NI0WCO1O3.jpg/strch021_01.jpg?type=w224_1&wm=N,,,등
,,,,,,
서서 한 다리 올리고 옆으로 굽히기,"허벅지 안쪽과 옆구리의 스트레칭이 동시에 이루어지며, 허벅지 안쪽 근육은 바깥쪽 근육과 균형을 이루지 못하는 경우가 많기 때문에 고관절과 관련된 질환을 예방하기 위한 스트레칭이다.",햄스트링과 고관절 내전근군의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141410106_7TXDFXMGV.jpg/strch030_01.jpg?type=w224_1&wm=N,,,"허벅지, 
                                        고관절"
,,,,,,
엎드려 몸통 올리기,엎드린 자세에서 수행하는 스트레칭으로서 복부의 근육이 스트레칭 되는 동시에 직립자세를 유지하기 위한 허리 근육도 강화된다. 그러나 허리질환이 있거나 우려되는 경우는 피하는 것이 좋다.,복직근과 내외 복사근의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141344625_1YZO8TC4N.jpg/strch014_01.jpg?type=w224_1&wm=N,,,복부
,,,,,,
다리 교차하여 앉아 몸 앞으로 굽히기,다리를 외측으로 회전시키고 펴는 동작을 수행하는 근육들의 스트레칭이다. 이 스트레칭은 걷기와 자세의 개선에 효과적이다.,중둔근과 소둔근을 비롯한 둔부의 측면에 위치한 근육들의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141407234_1L6JVQ8MC.jpg/strch027_01.jpg?type=w224_1&wm=N,,,고관절
,,,,,,
문틈 사이에서 몸 기울이기,어깨를 올리는 동작에 관련된 근육과 팔 그리고 가슴의 근육에 대한 스트레칭이며 일상적인 근육의 피로를 예방하고 회복하는데 필요한 스트레칭이다.,"전면 삼각근, 대흉근과 상완 이두근의 스트레칭이다.  
	팔꿈치를 굽히고 하는 경우 대흉근에 더 많은 스트레칭이 이루어진다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141334589_4809LQCR2.jpg/strch007_01.jpg?type=w224_1&wm=N,,,"가슴, 
                                        어깨"
,,,,,,
의자에 앉아 몸 앞으로 굽히기,"의자에 앉아 수행하는 스트레칭으로 컴퓨터나 사무작업 중 사용하기 유용하다. 허리와 등의 근육들이 전반적으로 스트레칭이 되며, 발목을 잡고 당기는 등의 방법으로 더 강하게 스트레칭 할 수 있다.",척추기립근과 장늑근과 같은 허리 신전근의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141341560_UYZJ0EG0S.jpg/strch013_01.jpg?type=w224_1&wm=N,,,"허리, 
                                        등"
,,,,,,
무릎 바닥에 대고 굽히기,"허벅지 앞면의 근육에 대한 스트레칭으로 다리를 벌린 정도에 따라 근육의 스트레칭 정도가 다르고, 발목을 잡고 당기거나 몸을 앞으로 기울이면 더 깊게 스트레칭 된다. 특히 운동 전후로 피로 회복과 부상 예방 등을 목적으로 스트레칭을 할 때 유용하다.",대퇴사두근 및 봉공근 그리고 대퇴근막장근의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141407945_CF94DEIAW.jpg/strch028_01.jpg?type=w224_1&wm=N,,,허벅지
,,,,,,
한 발로 서서 발목 잡고 당기기,허벅지 앞면의 근육인 대퇴사두근의 스트레칭으로 균형을 유지하기 어려운 경우 지지물을 사용할 수 있으며 균형을 유지하기 위한 훈련이 동시에 수행될 수 있다.,"대퇴사두근 및 대퇴근막장근, 봉공근, 장요근 등의 근육이 스트레칭 된다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141409063_A4H1M6919.jpg/strch029_01.jpg?type=w224_1&wm=N,,,"허벅지, 
                                        무릎"
,,,,,,
팔꿈치 잡고 당기기,"어깨의 후면에 위치한 근육들의 스트레칭이다. 팔을 바깥쪽으로 회전시키거나 벌리는 동작 등에 관련된 근육들이기 때문에 테니스, 골프 등과 같이 어깨를 사용하는 운동 전후에 스트레칭 하여야 한다.",후면 삼각근과 광배근 그리고 상완 삼두근 및 승모근의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141336067_K2NW66BC6.jpg/strch008_01.jpg?type=w224_1&wm=N,,,어깨
,,,,,,
머리 잡고 목 당기기,목 뒤쪽에 위치한 견갑거근의 스트레칭이다. 평상시 자세나 작업 형태 등에 영향을 받아 경직되거나 근육통을 일으킬 수 있다. 특히 ‘어깨뭉침’이라는 증상의 주원인이 되는 근육이다.,견갑거근의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141326758_YOEMTMW3I.jpg/strch003_01.jpg?type=w224_1&wm=N,,,목
,,,,,,
앉아 몸통 비틀기,골반과 복부 그리고 허리의 근육들이 스트레칭이 되며 많은 근육들이 포함되는 만큼 운동 전후 그리고 허리의 근육들의 균형을 유지하는 데 도움이 된다.,내외 복사근과 척추기립근의 스트레칭이며 둔부의 이상근도 스트레칭이 된다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141351308_CR7DTIIT3.jpg/strch018_01.jpg?type=w224_1&wm=N,,,"복부, 
                                        허리"
,,,,,,
봉 잡고 기마자세 취하기,어깨를 회전시키거나 내리는 동작에 관여하는 근육들의 스트레칭이다. 팔을 들어 올리거나 회전시키는 역할을 하는 회전근개 근육과 신전근의 유연성이 낮아지는 경우 오십견(동결건)과 회전근개 손상의 위험이 높아진다. 이 운동은 기마자세를 유지해야 하기 때문에 하지의 근력운동도 함께 수행된다.,"어깨의 회전근 및 광배근, 후면 삼각근과 상완 삼두근의 스트레칭이다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141333206_RZF4OADAM.jpg/strch006_01.jpg?type=w224_1&wm=N,,,"어깨, 
                                        등, 
                                        팔"
,,,,,,
무릎 꿇고 엎드리기,"등, 허리, 엉덩이, 어깨 근육의 스트레칭이다. 많은 부위가 스트레칭 되는 만큼 유용한 방법이다. 또 요통을 예방하고, 허리를 비롯한 몸의 중심부 근육들을 이완시켜 준다.",척추 기립근 및 둔근 견관절 굴곡근 등의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141355412_9RGIA6JDN.jpg/strch020_01.jpg?type=w224_1&wm=N,,,"허리, 
                                        등"
,,,,,,
누워서 다리 몸 쪽으로 당기기,"허벅지 후면의 근육에 대한 스트레칭으로서 운동 전후에 실시하는 스트레칭 수단이나 허리통증을 해소하기 위한 스트레칭으로도 유용하다. 양손을 이용하여 스트레칭 할 수도 있고, 수건을 이용하여 더 깊게 스트레칭 할 수도 있다.",햄스트링 근육과 고관절 신전근의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141411699_5ACD8L9DS.jpg/strch031_01.jpg?type=w224_1&wm=N,,,허벅지
,,,,,,
손등 몸 쪽으로 당기기,손을 손등 쪽으로 굽히는 역할을 하는 근육들의 스트레칭이다. 손을 사용하는 작업이나 운동 전후에 수행해 준다.,상완근과 손가락의 신전근들 그리고 손의 뒤침(supination) 근육들의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141340573_KEUDXUMD6.jpg/strch012_01.jpg?type=w224_1&wm=N,,,손목
,,,,,,
누워 다리 꼬고 몸 쪽으로 당기기,"엉덩이 부위의 근육들을 전반적으로 스트레칭 하는 동작이다. 특히 자세와 골반의 안정성을 증진시키는데 도움을 주며, 강렬한 스포츠나 운동을 할 때 수행한다.",대둔근 및 소둔근 그리고 이상근 등 둔부의 근육들 대부분이 스트레칭 된다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141402326_2YD0AQMKC.jpg/strch024_01.jpg?type=w224_1&wm=N,,,고관절
,,,,,,
손바닥 몸 쪽으로 당기기,손목을 손바닥 쪽으로 굽히는 역할을 하는 전완근들의 스트레칭이다. 운동 전후와 사무작업 등 손과 팔 근육의 사용이 많은 경우 수행해 준다.,상완근과 손가락 굽힘근들 그리고 손의 엎침(pronation) 근육들의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141340211_RNAUAQWW4.jpg/strch011_01.jpg?type=w224_1&wm=N,,,손목
,,,,,,
서서 몸통 굽히기,이 스트레칭은 허벅지 뒤쪽의 햄스트링 근육과 엉덩이 그리고 허리에 이르는 신체 뒷면의 근육들을 전체적으로 스트레칭 해준다. 운동 전후의 스트레칭으로 적합하다.,햄스트링과 척추기립근의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141413650_LYAJT3T38.jpg/strch032_01.jpg?type=w224_1&wm=N,,,"허벅지, 
                                        허리"
,,,,,,
앞으로 나가며 무릎 굽히기,"전방 런지는 하지 근육의 복합적인 스트레칭이기도 하지만, 근력운동이기도 하다. 또한 평형성을 개선시켜 주는 운동이기도 하지만, 평형성이 부족하거나 근력이 부족한 경우에는 스트레칭 효과가 적을 수 있다. 무리한 스트레칭이 이루어지지 않기 때문에 운동 전 스트레칭으로 권장된다.","장요근과 대퇴직근, 대둔근, 슬곡굴근군의 스트레칭으로 하지가 복합적으로 스트레칭 된다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141400956_G8HTAIGMB.jpg/strch023_01.jpg?type=w224_1&wm=N,,,고관절
,,,,,,
사이드 런지,다리를 안쪽으로 모으는 역할을 하는 고관절의 내전근 스트레칭이다. 이 스트레칭은 전방런지와 마찬가지로 근력운동이 동시에 수행되는 스트레칭이다.,고관절 내전근군 및 박근의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141403023_7TH07LL5O.jpg/strch025_01.jpg?type=w224_1&wm=N,,,고관절
,,,,,,
누워 무릎 잡고 몸 쪽으로 당기기,엉덩이 근육의 스트레칭이다. 엉덩이 근육의 스트레칭은 장시간 서 있는 자세부터 격렬한 스포츠 활동에 이르기까지 하지를 사용한 활동으로 인해 생긴 피로를 회복하기 위한 스트레칭이다.,대둔근의 스트레칭이다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141405063_Z30JR1TP2.jpg/strch026_01.jpg?type=w224_1&wm=N,,,고관절
,,,,,,
