제목,개요,효과,썸네일,난이도,자세분류,부위
비둘기 자세,"비둘기 자세는 마치 모이 주머니를 쭉 내미는 비둘기와 같다고 해서 불려지는 동작이다. 팔과 다리 라인을 가꾸어주며, 특히 옆구리를 강하게 자극하여 옆구리 군살을 빼는 데 효과적이다.","- 팔과 다리의 라인을 아름답게 만든다.
	 - 허벅지의 군살을 제거한다. 
	 - 어깨의 결림을 풀어준다. 
	 - 옆구리 지방이 제거된다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140833325_WS61F5D73.jpg/YOGA_025_pic_1.jpg?type=w224_1&wm=N,중급,앉은 자세,옆구리
,,,,,,
토끼 자세,토끼 자세는 일명 얼굴이 작아지는 요가 자세로 알려져 있다. 척추를 이완하고 강화시켜 목과 얼굴선을 다듬어주고 얼굴을 작아지게 만드는 효과가 있다. 또 온몸의 혈액순환을 촉진시켜 머리를 맑게 한다.,"- 얼굴을 갸름하게 만든다.
	 - 탈모 예방에 효과가 있다. 
	 - 뒷목이나 어깨 결림에 효과적이다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140951127_GFDQ756AY.jpg/YOGA_046_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,
,,,,,,
낙타 자세,낙타는 허리가 강한 동물이다. 낙타 자세는 이러한 낙타를 본떠 만든 동작으로 다른 아사나보다 허리와 복부에 강한 힘을 필요로 한다.,"- 굽은 등을 펴준다. 
	 - 처진 어깨를 정상화시킨다. 
	 - 엉덩이를 탄력 있게 만들어준다. 
	 - 척추와 고관절, 목근육을 강화한다. 
	 - 요통, 어깨 결림을 해소한다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140713258_7966ZH0BS.jpg/YOGA_009_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,복부
,,,,,,
보트 자세,보트 자세는 하복부를 자극해 노폐물을 내보내고 복부 비만을 해소하는 효과가 있다. 특히 요통이 있는 사람들에게 추천되는 동작이다.,"- 복부 비만을 해소한다. 
	 - 척추를 강화시킨다. 
	 - 요통을 예방하고 완화한다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140825242_WLYIPG7VN.jpg/YOGA_022_pic_1.jpg?type=w224_1&wm=N,중급,누운 자세,복부
,,,,,,
아기 자세,"아기 자세는 요가 수련 중간에 쉬어주는 휴식 동작으로 태아가 엄마의 자궁에서 편안한 휴식을 취하는 모습을 본딴 것이다. 몸과 마음의 긴장을 풀어주며, 혈액순환을 원활하게 해주는 효과가 있다.","- 경추와 어깨의 긴장을 해소한다. 
	 - 혈액순환을 원활하게 한다. 
	 - 안정감과 평온함을 갖게 된다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140855606_FZEXIQQUU.jpg/YOGA_032_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,
,,,,,,
활 자세,"활 자세는 활쏘기 직전의 활모양을 연상케 하는 동작으로 상체와 하체를 동시에 들어올려 몸매를 다듬는 데 효과적이다. 코브라 자세와 메뚜기 자세의 결합 자세이기도 하며, 전굴 자세와 쟁기 자세와는 상반되는 동작이다.","- 굽은 등과 어깨, 비틀어진 척추를 바로잡는 데 효과적이다.
	 - 소화기관의 활동을 강화시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141010414_0WRXIKJNT.jpg/YOGA_051_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,등
,,,,,,
복식 호흡,"우리는 흔히 가슴으로 하는 흉식 호흡을 한다. 복식 호흡은 이와 달리 복부를 이용해 하는 호흡으로, 요가의 가장 기본이 되는 호흡법이다. 복식 호흡은 흥분을 가라앉히며 심신의 안정을 찾을 수 있도록 도와준다.","- 심신의 안정을 찾을 수 있게 한다. 
	 - 폐활량이 늘어난다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140830185_UFXWN09R3.jpg/YOGA_024_pic_1.jpg?type=w224_1&wm=N,초급,호흡,
,,,,,,
물고기 자세,물고기 자세는 만병통치의 효과가 있는 자세로 알려져 있다. 물 속에서 헤엄치는 물고기의 유연한 모습을 상상하며 동작을 실시한다. 특히 등이 굽은 사람들에게 좋은 동작이다.,"- 폐와 심장의 기능을 활성화시킨다. 
	 - 허리와 가슴을 펴준다. 
	 - 목 뒤의 긴장을 풀어준다. 
	 - 머리를 맑게 한다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140749191_IF8213K14.jpg/YOGA_017_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,
,,,,,,
나비 자세,"나비 자세는 다리와 골반을 열어 나비의 날개처럼 펴주는 동작으로, 특히 골반과 고관절을 자극해준다. 생리통이나 생리불순을 없애주며 임산부들에게 좋은 대표적인 자세이다.","- 고관절과 골반을 자극한다.          
	 - 생식 기능과 방광 기능을 향상시킨다. 
	 - 생리통이나 생리불순에 좋다.           
	 - 좌골신경통, 요통, 무릎의 관절염에 효과적이다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140712306_T9AC6EG4N.jpg/YOGA_008_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,허벅지
,,,,,,
현 자세,현 자세는 옆구리를 늘이고 수축시키는 동작으로 허리근육을 풀어주고 군살을 없애 날씬한 허리를 만들어준다. 골반의 위치를 바로잡아주어 생리통을 예방하는 효과가 있다.,"- 허리선을 가늘게 만든다.
	 - 복부와 옆구리 다이어트에 효과적이다. 
	 - 고관절의 유연성과 운동성을 증가시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141004036_1ES197T2Y.jpg/YOGA_049_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,허리
,,,,,,
삼각 자세,"삼각 자세는 온몸을 쭉 뻗어 삼각형 형태를 만들어주는 동작으로, 허리와 엉덩이, 장딴지, 발목의 군살을 빼는 데 효과적이다.","- 척추와 늑골이 유연해지고 다리가 강화된다. 
	 - 집중력이 개선된다.
	 - 허리, 엉덩이, 장딴지, 발목의 군살을 제거한다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140841169_EZ44YOVDG.jpg/YOGA_027_pic_1.jpg?type=w224_1&wm=N,초급,선 자세,전신
,,,,,,
고관절 운동,"고관절 운동은 고관절, 무릎관절, 발목관절의 유연성을 높여주고, 틀어진 골반의 균형을 잡아주는 효과가 있다.","- 고관절의 유연성을 높인다.
	 - 관절염 예방에 효과적이다. 
	 - 하체의 혈액순환을 돕는다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141011295_17AJLGBLM.jpg/YOGA_053_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,
,,,,,,
준비 운동,"요가를 시작하기 전에 경직되어 있는 신체 각 부위를 풀어주는 준비 운동이 필요하다. 준비 운동 없이 무리한 요가 동작을 시작할 경우 근육이 놀라 경련과 근육통이 생길 수 있으며, 특히 고혈압 환자의 경우 부작용이 생길 수 있다. 요가 시작 전에는 항상 준비 운동으로 5~10분 정도 몸을 풀어준 후 본운동에 들어가는 습관을 들이는 것이 좋다.","- 몸을 이완시킨다. 
	 - 부상을 방지한다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140758219_EPZAYHBWB.jpg/YOGA_044_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,
,,,,,,
전사 자세,"전사 자세는 다리를 튼튼하고 날씬하게 해주며, 척추와 골반의 균형을 맞춰 엉덩이선을 아름답게 만들어준다.","- 다리를 튼튼하게 만든다. 
	 - 엉덩이선을 아름답게 만든다.
	 - 발목과 종아리 뒤쪽, 무릎, 허벅지의 근육을 강화시킨다. 
	 - 어깨 결림을 해소하고 발목을 강화시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140940090_1VLL2X65K.jpg/YOGA_043_pic_1.jpg?type=w224_1&wm=N,중급,선 자세,다리
,,,,,,
합장합족 자세,합장합족 자세는 일명 아가집을 튼튼하게 하는 동작으로 산모들의 골반과 아랫배를 강화시킨다. 또한 역아 예방에 효과적이므로 임신 말기에 꾸준히 실시하면 순산에 많은 도움이 된다.,"- 골반을 강화시킨다. 
	 - 복부와 대퇴부 근육의 혈액순환을 좋게 한다. 
	 - 순산에 도움이 된다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141040782_JUG4F9QGN.jpg/YOGA_067_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,
,,,,,,
누운 금강 자세,"누운 금강 자세는 누운 영웅자세란 뜻의 숩타비라아사나라고도 한다. 숩타(Supta)는 눕다라는 뜻이고, 비라(Vira)는 영웅 또는 전사라라는 뜻으로, 인도신화에 나오는 수많은 전사와 영웅들이 휴식을 취할 때 사용한 자세를 의미한다.","- 복부를 강화시킨다.
	 - 허리와 무릎, 발목의 유연성을 향상시킨다. 
	 - 종아리의 뭉친 근육을 풀어준다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140719680_4BBCP827H.jpg/YOGA_010_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,허벅지
,,,,,,
복근 자세,복근 자세는 말 그대로 복부를 단련시켜 복근을 강화시켜주는 동작이다. 아랫배를 날씬하게 만들어주며 장을 자극하여 변비 해소에 도움을 준다.,"- 뱃살을 빼준다.
	 - 변비를 해소한다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140828316_3A9VCKVJX.jpg/YOGA_023_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,복부
,,,,,,
발끝 당기기,"발끝 당기기는 발끝을 최대한 가슴 쪽으로 가깝게 당겨주는 동작으로 다리의 울혈을 제거해주고, 출산 후 산모들의 경락을 자극하여 빠른 자궁 회복에 도움이 된다.","- 발목 관절의 울혈을 제거하는 효과가 있다.
	 - 발목 통증을 줄여준다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141028884_13F4P158E.jpg/YOGA_057_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,발
,,,,,,
소머리 자세,"소머리 자세는 소의 얼굴을 닮은 동작으로, 어깨 관절을 자극해 팔의 혈액순환을 원활하게 해준다. 또한 팔 라인을 자극하고 어깨를 비롯한 상체 근육을 풀어주며, 비틀어진 척추와 골반의 균형을 바로잡아 주는 효과가 있다.","- 팔의 혈액순환을 원활하게 한다. 
	 - 다리와 골반을 유연하게 한다.
	 - 숙면을 돕는다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140852512_7WCTIV8NN.jpg/YOGA_031_pic_1.jpg?type=w224_1&wm=N,중급,앉은 자세,허벅지
,,,,,,
누워서 전신 스트레칭,"누워서 전신 스트레칭은 흔히 말하는 기지개 켜기 동작으로, 전신을 늘리고 근육을 이완시켜 피로 회복에 도움이 된다.","- 근육을 이완시킨다. 
	 - 피로 회복에 효과적이다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141121529_NFO9F6Q5B.jpg/YOGA_082_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,
,,,,,,
,,,,,,
,,,,,,
아치 자세,"아치 자세는 말 그대로 몸을 아치형으로 둥글게 말아세우는 동작이다. 구부정한 자세를 가진 사람들의 자세 교정에 도움이 되며, 장시간 앉아서 일하는 사람들에게 추천된다.","- 복부 지방 및 허리와 엉덩이의 군살을 제거한다.
	 - 혈액순환이 좋아진다. 
	 - 요통을 해소시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140904294_LPLLP3V31.jpg/YOGA_034_pic_1.jpg?type=w224_1&wm=N,상급,누운 자세,엉덩이
,,,,,,
금강좌,"금강좌는 요가에서 다이아몬드 자세라고도 한다. 다리의 혈액순환을 촉진하여 팔과 다리의 부기를 빼주고, 하체의 피로를 풀어주는 동작이다. 특히 O다리 교정에 효과적이다.","- 다리의 혈액순환을 촉진한다. 
	 - 팔과 다리의 부기를 예방한다. 
	 - 위장 장애에 도움이 된다.
	 - 발목과 무릎의 유연성을 향상시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140702698_MVOSNX1V2.jpg/YOGA_005_pic_1.jpg?type=w224_1&wm=N,초급,호흡,종아리
,,,,,,
교호 호흡,교호 호흡은 불균형하고 흐트러진 몸과 마음의 상태를 바로잡아주는 호흡법이다. 기혈의 흐름을 원활하게 도와준다.,"- 장과 호흡기 계통을 정화한다. 
	 - 마음이 편안해진다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141207110_HY18379KG.jpg/YOGA_099_pic_1.jpg?type=w224_1&wm=N,중급,호흡,
,,,,,,
어깨로 서기,"어깨로 서기는 '아사나의 여왕'으로 불리며, 갑상선을 자극해 우리 몸의 신진대사를 활발하게 하는 효과가 있다. 특히 여성 질환에 많은 도움이 된다.","- 하체 비만, 특히 엉덩이 군살제거에 효과적이다.
	 - 신진대사를 활발하게 한다. 
	 - 피부의 탄력을 높인다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140917922_AD9FZU924.jpg/YOGA_037_pic_1.jpg?type=w224_1&wm=N,중급,누운 자세,전신
,,,,,,
사자 자세,사자 자세는 동물의 왕인 사자가 포효하는 모습을 형상화한 동작이다. 온힘을 다해 얼굴 근육에 힘을 줌으로써 안면 근육을 풀어줄뿐만 아니라 자신감도 충만하게 도와준다.,"- 안면 근육을 풀어준다. 
	 - 자신감이 생긴다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140839497_7L41ONUAV.jpg/YOGA_026_pic_1.jpg?type=w224_1&wm=N,중급,앉은 자세,
,,,,,,
나무 자세,나무 자세는 뿌리를 박고 곧게 서 있는 나무를 몸으로 형상하는 동작이다. 한 다리로 균형을 잡아 몸을 바르게 세움으로써 몸의 균형 감각을 키워준다.,"- 다리의 근력을 강화시킨다.               
	 - 균형감각 및 집중력 향상시킨다.                                   
	 - 굽은 등, 늑골과 가슴이 펴진다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140706859_JKWBOGY8S.jpg/YOGA_007_pic_1.jpg?type=w224_1&wm=N,초급,선 자세,다리
,,,,,,
완전한 개 자세,완전한 개 자세는 아래를 향한 개 자세에서 한 다리를 높게 올려주는 동작이다. 저녁에 하면 좋은 자세로 하루의 피로를 푸는 데 도움을 준다.,"- 등의 라인을 정리해준다.
	 - 다리의 피로를 풀어준다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141200139_C2OKWB0PU.jpg/YOGA_096_pic_1.jpg?type=w224_1&wm=N,상급,선 자세,다리
,,,,,,
메뚜기 자세,메뚜기는 자신의 몇 배나 되는 높이를 뛰어넘을 정도의 힘과 순발력을 지닌 곤충이다. 메뚜기 자세는 이러한 메뚜기의 힘을 기를 수 있도록 만들어진 동작이다.,"- 허리와 엉덩이 쪽의 군살을 제거한다. 
	 - 처진 엉덩이를 끌어올린다. 
	 - 소화력이 좋아진다. 
	 - 신장과 허리를 강화시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140743942_FN87QPN6B.jpg/YOGA_016_pic_1.jpg?type=w224_1&wm=N,중급,누운 자세,다리
,,,,,,
의자 자세,"의자 자세는 웃카타 아사나라고도 하며, '웃카타'는 거친 또는 고르지 않은이란 뜻이다. 가상의 의자에 앉아 있는 듯한 상태로 엉덩이를 아래로 내려 앉는 듯한 자세를 취해주는 동작이다. 허벅지 뒤쪽과 엉덩이 근육을 단련시켜준다.","- 허벅지 뒤쪽, 엉덩이 근육을 단련시킨다.
	 - 고관절의 유연성을 높이는 데 도움이 된다.
	 - 어깨 결림, 휘어진 척추, 허약한 하체에 좋다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140932003_EK0DP3Y2V.jpg/YOGA_041_pic_1.jpg?type=w224_1&wm=N,중급,선 자세,허벅지
,,,,,,
결가부좌,"결가부좌는 부처님께서 깨달음을 얻을 때도 결가부좌했다 하여 불가에서는 흔히 '여래좌'라고도 하며, 기억력과 집중력 향상, 건강 증진 등의 효과가 매우 크다.","- 기억력, 집중력, 판단력이 향상된다.
	 - 유연성이 높아진다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140651875_CY03O5N8F.jpg/YOGA_001_pic_1.jpg?type=w224_1&wm=N,중급,호흡,
,,,,,,
풀무 호흡,풀무 호흡은 풀무질하듯 급격하게 숨을 마시고 내쉬는 호흡법으로 지방을 산화시키는 효과가 있다. 집중력을 향상시키고 감정을 조절하는 데 도움을 주는 동작이다.,"- 지방을 산화시킨다. 
	 - 정신 집중에 도움이 된다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141213942_1HGGAII1Y.jpg/YOGA_100_pic_1.jpg?type=w224_1&wm=N,중급,호흡,
,,,,,,
구름다리 자세,"구름다리 자세는 골반을 높게 하늘로 끌어올려 구름다리처럼 만들어주는 동작으로, 특히 여성에게 도움이 된다.","- 골반과 엉덩이의 군살을 제거한다. 
	 - 척추 주변의 근육을 강화시킨다.
	 - 허벅지 근력을 강화시킨다. 
	 - 허리의 유연성을 증가시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140659673_W7EFZZ4XP.jpg/YOGA_003_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,엉덩이
,,,,,,
코브라 변형 자세,코브라 변형 자세는 기존 코브라 자세에서 한 다리를 접어 상체를 뒤로 비틂으로써 옆구리에 뭉쳐 있는 담 경락을 강하게 자극하는 동작이다. 척추의 좌우 균형을 맞춰주는 효과도 있다.,"- 옆구리 경락을 자극한다. 
	 - 척추의 좌우 균형을 맞춘다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141127986_W2HFXWPLX.jpg/YOGA_085_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,옆구리
,,,,,,
발목 돌리기,발목 돌리기는 발의 피로를 풀어주는 자세로 발의 부기를 가라앉히고 혈액순환을 도와준다. 요가 시작 전 준비 운동으로 실시해도 좋다.,"- 다리의 부기를 빼준다. 
	 - 발목관절을 튼튼하게 한다.
	 - 혈액순환을 돕는다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140821169_V51O0SXY2.jpg/YOGA_021_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,발
,,,,,,
고양이 등 펴기 자세,"고양이 등 펴기 자세는 고양이 자세의 변형으로, 고양이가 기지개를 켜는 듯한 모습을 형상화한 동작이다. 어깨, 허리, 등을 시원하게 펴준다.",- 전굴 또는 후굴된 허리를 교정한다.,https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141136363_X05E9G6MM.jpg/YOGA_088_pic_1.jpg?type=w224_1&wm=N,중급,앉은 자세,허리
,,,,,,
파반묵타,"파반묵타란 기혈을 풀어준다는 어원적인 의미를 가지고 있는 동작으로 신체의 말단부를 자극하는 경락 자극 원리와 비슷하다. 즉, 기의 흐름을 방해하는 요소들을 제거하는 역할을 하는 동작으로 구성되어 있다.","- 관절염을 해소시킨다. 
	 - 심리적 안정을 준다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140810008_D66PGBQS1.jpg/YOGA_065_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,
,,,,,,
악어 자세,"악어 자세는 허리와 복부를 비틀어 주는 자세로, 아랫배 군살을 제거해주며 허리와 척추 교정에 도움이 된다.","- 아랫배 군살을 제거한다. 
	 - 허리 교정을 해준다. 
	 - 허벅지와 종아리, 발목의 군살을 빼는 데 효과적이다. 
	 - 척추를 곧게 펴준다. 
	 - 요통을 해소한다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140910142_2WMZA47DI.jpg/YOGA_035_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,복부
,,,,,,
요가 무드라 자세,요가 무드라 자세는 팔 안쪽과 바깥쪽 근육을 이완시키는 동작으로 팔 라인을 슬림하게 만드는 효과가 있다. 경직된 어깨와 목의 긴장을 풀어주며 등의 뭉친 근육도 해소시켜준다.,"- 경직된 어깨와 목의 긴장을 풀어준다.
	 - 등의 뭉친 근육을 이완시켜 혈액순환을 돕는다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315140927871_DV6DEE3WQ.jpg/YOGA_040_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,팔
,,,,,,
옆으로 누운 휴식 자세,임신 중 배가 불러오고 골반이 넓어지면 누워도 편하지 않다. 이럴 때 옆으로 누운 휴식 자세를 취해주면 허리의 부담을 완화시킬 수 있다.,"- 허리의 부담을 완화시킨다. 
	 - 피로를 풀어주고 심신의 안정을 준다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141038271_500F62LZ5.jpg/YOGA_063_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,
,,,,,,
발끝으로 서기,발끝으로 서기는 발뒷꿈치를 세우고 발가락 끝으로 중심을 잡는 동작으로 중심 감각과 인내심을 키워주는 데 도움이 된다.,"- 무릎관절의 유연성을 증가시킨다.
	 - 집중력이 향상된다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141104909_L5UGEW6XE.jpg/YOGA_074_pic_1.jpg?type=w224_1&wm=N,상급,선 자세,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
앉은 산 자세,"앉은 산 자세는 어깨와 팔, 척추를 스트레칭 해주고 깊은 호흡을 유도해주는 동작이다. 임신 중 골반에 느껴지는 부담을 완화시켜주는 효과가 있다.","- 편안한 호흡을 돕는다. 
	 - 요통과 어깨 결림에 도움이 된다.
	 - 팔뚝과 어깨의 군살을 빼는 데 효과적이다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141037454_T1UTEX9RD.jpg/YOGA_061_pic_1.jpg?type=w224_1&wm=N,초급,앉은 자세,팔
,,,,,,
산 자세,"임신 중기부터는 배가 점점 불러오면 몸의 무게중심이 바뀌면서 요통과 어깨, 목에 통증이 오게 되는데 산 자세를 통해 완화시킬 수 있다.","- 허벅지, 무릎, 발목을 튼튼하게 한다. 
	 - 복부, 둔부를 강화시킨다.
	 - 요통과 어깨, 목의 통증을 완화시킨다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141033429_8NG9B5AFE.jpg/YOGA_060_pic_1.jpg?type=w224_1&wm=N,초급,선 자세,
,,,,,,
한쪽 다리 틀어 비틀기,한쪽 다리 틀어 비틀기는 이름 그대로 한 다리를 반대쪽 방향으로 틀어 비틀어주는 동작으로 평소에 바르지 못한 습관으로 인해 삐뚤어진 척추를 교정해준다. 또한 옆구리살을 빼주는 효과도 있다.,"- 요통을 예방한다. 
	 - 옆구리의 지방을 제거한다.",https://dbscthumb-phinf.pstatic.net/0955_000_1/20120315141141168_OPGTOU09S.jpg/YOGA_089_pic_1.jpg?type=w224_1&wm=N,초급,누운 자세,옆구리
,,,,,,
